sigma,L_c,avg,std_error
0.001,4,0.9999858489266608,2.7447982221334647e-07
0.001,6,0.9999800596118389,3.250872515500562e-07
0.001,8,0.9999738281833642,3.454990783286999e-07
0.001,10,0.9999674902153629,3.7523198377286087e-07
0.001,12,0.9999620230283515,4.168361173781987e-07
0.001,14,0.9999555649650034,4.913758585807864e-07
0.001,16,0.9999508744649597,5.18904463959484e-07
0.001,18,0.9999437429505452,5.308843944839937e-07
0.001,20,0.9999374214849217,5.673897702807242e-07
0.001,22,0.9999322060025052,6.611107254323008e-07
0.001,24,0.999925889291368,6.755267571693256e-07
0.01,4,0.9986402222140474,2.517893087384898e-05
0.01,6,0.9979254225912476,3.358086371295966e-05
0.01,8,0.9974076855891141,3.11238273507011e-05
0.01,10,0.9967103247721388,4.613863543103238e-05
0.01,12,0.9962188939128879,4.342517371839249e-05
0.01,14,0.9956009614745761,4.71982706204282e-05
0.01,16,0.9949948084173207,5.252860443326246e-05
0.01,18,0.9943161848852139,5.172024623786574e-05
0.01,20,0.9938223274820741,5.2704020931801135e-05
0.01,22,0.9932435501883724,5.6358700907935415e-05
0.01,24,0.9925533857851963,6.047581900789859e-05
0.05,4,0.9656675648832008,0.0005957753276943588
0.05,6,0.950417640793122,0.0007646753414837647
0.05,8,0.9365793853552645,0.0009065317925819079
0.05,10,0.9244041244073083,0.0009839010959034752
0.05,12,0.9082121460966596,0.0009829123814346177
0.05,14,0.8984761690428911,0.00099903617688606
0.05,16,0.882394889290151,0.0010877184937923888
0.05,18,0.8709074801420601,0.0011571715561451504
0.05,20,0.8577533552954811,0.0012123052241969508
0.05,22,0.8444594235461246,0.0012839827648904916
0.05,24,0.8307493739748176,0.0012205322752125208
0.1,4,0.8749134564906155,0.0022651094341865933
0.1,6,0.8221850594537325,0.002580594833863251
0.1,8,0.7699570579133141,0.0028555802990573734
0.1,10,0.7276623744570803,0.002832315644938049
0.1,12,0.6850263042416045,0.0026915144550151873
0.1,14,0.6433553174917279,0.0028256638731295595
0.1,16,0.6094356735569939,0.0029871300165819855
0.1,18,0.5692585296358589,0.0024742552761295687
0.1,20,0.5340158816993529,0.0029600376710953264
0.1,22,0.5042310551454822,0.00312645790615996
0.1,24,0.4803690937075201,0.0029334614698011655
0.2,4,0.5883170646024574,0.006481215559152172
0.2,6,0.4648959446883128,0.0060175803700963535
0.2,8,0.35881960231052057,0.005356129499495174
0.2,10,0.28404487710736903,0.003924359284238437
0.2,12,0.22312470950465113,0.004459377945139816
0.2,14,0.18045676511791522,0.0033938664271211732
0.2,16,0.1426100299423668,0.0028313878621669484
0.2,18,0.11233110156199827,0.0022703989681957405
0.2,20,0.09084579115829758,0.0018532956702810442
0.2,22,0.06894448129643838,0.0016534873840592164
0.2,24,0.05551796777731084,0.0014389016683232013
